store_id,tcin_product_id,record_date,load_date,load_ts,shipping_method_id,shipping_method_short_description,service_level_description,min_delivery_date,max_delivery_date,cutoff_time,is_base_shipping_method,is_two_day_shipping,product_tcin,product_typename,scheduled_delivery_status,scheduled_delivery_promise_qty,scheduled_delivery_location_id,is_out_of_stock_in_all_stores,product_id,is_sold_out,shipping_availability_status,available_to_promise_qty,loyalty_availability_status,fulfillment_product_id,delivery_location,notify_me_eligible,notify_me_enabled,charge_scheduled_delivery,charge_one_day,store_positions
2822,81063468,2025-10-15,2025-10-18,2025-10-18 01:26:18.635913,STANDARD,Standard,Standard Shipping,2025-10-25,2025-10-25,2025-10-18 18:00:00,true,false,81063468,Product,OUT_OF_STOCK,0.0,2822,false,81063468,false,IN_STOCK,10.0,IN_STOCK,81063468,2822,true,false,9.99,7.99,"[{'block': G, 'aisle': 26}]"
2822,81063468,2025-10-18,2025-10-18,2025-10-18 01:26:18.635913,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,1006030209,2025-10-16,2025-10-18,2025-10-18 01:26:18.635913,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,1006030209,2025-10-18,2025-10-18,2025-10-18 01:26:18.635913,STANDARD,Standard,Standard Shipping,2025-10-25,2025-10-25,2025-10-20 22:00:00,true,false,1006030209,Product,UNAVAILABLE,0.0,2822,true,1006030209,false,IN_STOCK,20.0,IN_STOCK,1006030209,2822,true,false,9.99,7.99,
2822,81063747,2025-10-16,2025-10-18,2025-10-18 01:26:18.635913,STANDARD,Standard,Standard Shipping,2025-10-25,2025-10-25,2025-10-18 18:00:00,true,false,81063747,Product,UNAVAILABLE,0.0,2822,false,81063747,false,IN_STOCK,10.0,IN_STOCK,81063747,2822,true,false,9.99,7.99,"[{'block': G, 'aisle': 26}]"
2822,81063747,2025-10-18,2025-10-18,2025-10-18 01:26:18.635913,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,89600043,2025-10-18,2025-10-18,2025-10-18 01:26:18.635913,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,93350807,2025-10-16,2025-10-18,2025-10-18 01:26:18.635913,STANDARD,Standard,Standard Shipping,2025-10-25,2025-10-25,2025-10-18 18:00:00,true,false,93350807,Product,IN_STOCK,9.0,2822,false,93350807,false,IN_STOCK,10.0,IN_STOCK,93350807,2822,true,false,9.99,7.99,"[{'block': G, 'aisle': 25}]"
2822,93350807,2025-10-18,2025-10-18,2025-10-18 01:26:18.635913,,,,,,,,,,,,,,,,,,,,,,,,,,
2822,81063454,2025-10-14,2025-10-18,2025-10-18 01:26:18.635913,STANDARD,Standard,Standard Shipping,2025-10-25,2025-10-25,2025-10-18 18:00:00,true,false,81063454,Product,IN_STOCK,8.0,2822,false,81063454,false,IN_STOCK,10.0,IN_STOCK,81063454,2822,true,false,9.99,7.99,"[{'block': G, 'aisle': 26}]"
